Manufacturer,Model,Year,Fuel Type,Body Type,Seating Capacity,Ground Clearance,Ground Clearance (range),Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
BMW,530e m-sport,2018,Hybrid,seden,5,,,,,31500000.0,
BMW,530e m-sport,2017,Hybrid,seden,5,,,,33500000.0,,
BMW,530i m-sport,2018,Petrol,seden,5,,,,,38500000.0,
BMW,530i m-sport,2017,Petrol,seden,5,,,,,39000000.0,
BMW,535i active 5,2012,Hybrid,seden,5,,,,,,22000000.0
BMW,725d,2019,Diesel,sedan,5,,,62500000.0,,,
BMW,730ld,2012,Diesel,sedan,5,,,,29950000.0,29950000.0,
BMW,740e m-sport,2017,Hybrid,seden,,,,,,,39000000.0
BMW,740i m-sport,2015,Petrol,,,,,,,29500000.0,
BMW,740le,2018,Hybrid,sedan,,,,,,48000000.0,
BMW,740le,2017,Petrol,sedan,,,,,40000000.0,,
BMW,740le,2016,Hybrid,sedan,,,,,49800000.0,,
BMW,740le g-12,2017,Hybrid,seden,,,,,,40000000.0,
BMW,740le m-sport,2018,Petrol,seden,,,,,,52500000.0,
BMW,740le m-sport,2017,Hybrid,seden,,,,,43500000.0,43500000.0,
BMW,740le m-sport,2016,Petrol,seden,,,,,,48500000.0,
BMW,740li,2011,Petrol,sedan,5,,,,,22500000.0,
BMW,740li m-sport,2016,Petrol,seden,5,,,,,51000000.0,
BMW,active 7,2013,Hybrid,sedan,5,,,,,29500000.0,
BMW,i3,2017,Electric,hatchback,4,,,,8416667.0,7500000.0,
BMW,i3,2015,Electric,hatchback,4,,,,8416667.0,7500000.0,
BMW,i3,2014,Electric,hatchback,4,,,,8416667.0,7500000.0,
BMW,i3,2013,Electric,hatchback,4,,,,8416667.0,7500000.0,
BMW,i5 m-sport,2024,Electric,seden,5,,,62000000.0,,,
BMW,i7,2025,Electric,sedan,5,,,110000000.0,,,
BMW,i7,2024,Electric,sedan,5,,,125000000.0,,,
BMW,i7 m-sport,2024,Electric,sedan,5,,,135000000.0,,,
BMW,i7 x,2024,Electric,sedan,5,,,99000000.0,,,
BMW,i8,2018,Petrol,coupe/roadster,4,,,,32700000.0,,
BMW,i8,2016,Hybrid,coupe/roadster,4,,,,31500000.0,,
BMW,i8 m-sport,2018,Petrol,coupe/roadster,4,,,32850000.0,32850000.0,,
BMW,i8 roadster,2019,Hybrid,roadster,2,,,44500000.0,,,
BMW,ix xdrive40,2023,Electric,suv,5,,,55000000.0,,,
BMW,ix xdrive40 m-sport,2023,Electric,suv,5,,,52500000.0,,,
BMW,m760 575bhp,2025,Petrol,seden,5,,,155000000.0,,,
BMW,mini cooper,2015,Petrol,hatchback,4,,,,12200000.0,,
BMW,mini cooper chili pack,2015,Petrol,hatchback,4,,,,15250000.0,,
BMW,mini cooper sport,2025,Petrol,hatchback,4,,,28000000.0,,,
BMW,x1,2025,Petrol,suv,5,,,43850000.0,,,
BMW,x1,2019,Petrol,suv,5,,,,,20333333.0,
BMW,x1,2018,Petrol,suv,5,,,,,20333333.0,
BMW,x1,2017,Petrol,suv,5,,,,,20333333.0,
