Manufacturer,Model,Year,Fuel Type,Body Type,Seating Capacity,Ground Clearance (range),Body Type 1 (sedan),Body Type 2 (hatchback),Body Type 3 (suv),Body Type 4 (mpv),Body Type 5 (pickup),Body Type 6 (coupe),Body Type 7 (convertible),Body Type 8 (wagon),Body Type 9 (van),Body Type 10 (crossover),Body Type 11 (kei / microvan),Body Type 12 (roadster),Body Type 13 (other),Body Type 14 (liftback),Body Type 15 (mpv / minivan),City/Urban,Suburban/Normal,Mid Off-Road,Off-Road/Hilly Terrain,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
Audi,q3,2018,Petrol,suv / suv sportsback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,31000000.0,,19200000.0,23500000.0
Audi,q3,2019,Petrol,suv / suv sportsback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,31000000.0,,19200000.0,23500000.0
Audi,q3,2022,Petrol,suv / suv sportsback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,31000000.0,,19200000.0,23500000.0
Audi,q3 premium,2018,Petrol,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,18000000.0,
Audi,q3 s-line,2019,Petrol,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,26000000.0,,
Audi,q3 s-line,2023,Electric,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,30500000.0,,
Audi,q3 s-line,2024,Electric,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,42950000.0,,,
Audi,q3 s-line quattro,2019,Petrol,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,26500000.0,,
Audi,q3 s-line sportback,2024,Petrol,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,34000000.0,,,
Audi,q3 s-line sportsback,2023,Petrol,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,35500000.0,,,
Audi,q3 s-line tfsi,2023,Petrol,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,34500000.0,,,
Audi,q4,2024,Electric,suv / suv sportsback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,39500000.0,,,
Audi,q4 e-tron,2023,Electric,suv/suv sportback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,36500000.0,,,
Audi,q4 e-tron s-line,2023,Electric,suv/suv sportback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,38950000.0,,,
Audi,q4 e-tron s-line sports back,2024,Electric,suv/suv sportback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,42000000.0,,,
Audi,q4 etron 40,2023,Electric,suv/suv sportback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,36000000.0,,
Audi,q4 etron 40,2024,Electric,suv/suv sportback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,37950000.0,,,
Audi,q5 quattro,2015,Petrol,suv/suv sportback,5,202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,22500000.0,
Audi,q5 quattros s-line tfsi,2012,Petrol,suv/suv sportback,5,202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,16450000.0,
Audi,q7 platinum edition,2025,Petrol,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,73000000.0,,,
Audi,q7 quattro,2011,Petrol,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,75000000.0,,35825000.0,25250000.0
Audi,q7 quattro,2016,Petrol,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,75000000.0,,35825000.0,25250000.0
Audi,q7 quattro,2017,Petrol,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,75000000.0,,35825000.0,25250000.0
Audi,q7 quattro,2025,Petrol,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,75000000.0,,35825000.0,25250000.0
Audi,q7 quattro tfsi,2016,Petrol,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,38500000.0,
Audi,q7 quattro tfsi 40,2016,Petrol,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,32500000.0,
Audi,q7 s-line,2017,Petrol,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,35000000.0,
Audi,q8 e-tron,2024,Electric,suv/suv sportback,5,211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,42333333.0,,,
Audi,q8 e-tron 50 quattro,2024,Electric,suv/suv sportback,5,211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,45000000.0,,,
Audi,q8 e-tron s-line 50 quattro,2024,Electric,suv/suv sportback,5,211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,50000000.0,,,
BMW,218i gran m-sport,2023,Petrol,coupe,5,152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,29500000.0,,,
BMW,218i gran m-sport,2024,Petrol,coupe,5,152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,30750000.0,,,
BMW,316i,2015,Petrol,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,16800000.0,18250000.0
BMW,318i,2016,Petrol,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,22800000.0,22425000.0,21250000.0
BMW,318i,2017,Petrol,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,22800000.0,22425000.0,21250000.0
BMW,318i,2018,Petrol,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,22800000.0,22425000.0,21250000.0
BMW,318i,2020,Petrol,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,22800000.0,22425000.0,21250000.0
BMW,318i f-30 m-sport,2018,Petrol,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,22500000.0,
BMW,318i f-80 m-sport,2016,Petrol,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,18900000.0
BMW,318i m-sport,2017,Petrol,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,22990000.0,20600000.0,
BMW,318i m-sport,2018,Petrol,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,23500000.0,
BMW,318i m-sport,2019,Petrol,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,25975000.0,,
BMW,320d,2011,Diesel,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,15000000.0,
BMW,320d,2012,Diesel,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,17700000.0,14300000.0
BMW,320d,2013,Diesel,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,17700000.0,14300000.0
BMW,320d,2014,Diesel,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,24800000.0
BMW,320d e-90,2012,Diesel,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,12990000.0
BMW,320d f-30,2013,Diesel,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,17000000.0
BMW,320d m-sport,2013,Diesel,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,23500000.0,
BMW,430i gran m-sport,2017,Petrol,coupe/gran coupe,5,127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,35000000.0,,
BMW,520d,2011,Diesel,sedan / touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,20392857.0,22304500.0
BMW,520d,2012,Diesel,sedan / touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,20392857.0,22304500.0
BMW,520d,2013,Diesel,sedan / touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,20392857.0,22304500.0
BMW,520d,2014,Diesel,sedan / touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,20392857.0,22304500.0
BMW,520d,2015,Diesel,sedan / touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,20392857.0,22304500.0
BMW,520d,2016,Diesel,sedan / touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,20392857.0,22304500.0
BMW,520d f-10,2012,Diesel,sedan/touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,23750000.0
BMW,520d f-10,2013,Diesel,sedan/touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,24675000.0,22925000.0
BMW,520d f-10,2015,Diesel,sedan/touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,24675000.0,22925000.0
BMW,520d gt,2013,Diesel,hatchback,5,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,24500000.0,
BMW,520d gt m-sport,2015,Diesel,hatchback,5,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,26800000.0,,
BMW,520d lci,2015,Diesel,sedan/touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,27500000.0,
