Manufacturer,Model,Year,Condition,Fuel Type,Price,Mileage,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
BMW,430i Gran M-Sport,2017.0,,Petrol,35000000,38000,,35000000,,
BMW,530e M Sport,2017.0,,Petrol,30000000,90000,,,31500000,
BMW,530i MSport,2017.0,,Petrol,39000000,57000,,,39000000,
BMW,740Le Luxury Line,2017.0,,Petrol,40000000,43000,,40000000,,
BMW,X1,2017.0,,Petrol,20500000,94000,41500000,,20333333,20500000
BMW,X5,2017.0,,Petrol,31000000,67000,,,23500000,
BMW,X5 M Sport,2017.0,,Petrol,26800000,96875,,,26800000,
BMW,X6 M 4400CC V8,2017.0,,Petrol,56500000,57000,,,56500000,
BMW,318i,2016.0,,Petrol,20500000,130000,,22800000,21912500,21250000
BMW,318i Luxury line,2016.0,,Petrol,17500000,96000,,,17500000,
BMW,318i M Sport F80 Kitted,2016.0,,Petrol,18900000,128000,,,,18900000
BMW,740Le M Sport,2016.0,,Petrol,48500000,58000,,,48500000,
BMW,740Li M SPORT LWB 3L Petro,2016.0,,Petrol,51000000,63000,,,51000000,
BMW,X1 M Sport,2016.0,,Petrol,17000000,67000,24850000,23000000,19800000,
BMW,X3,2016.0,,Petrol,24900000,99000,,,24900000,
BMW,X5 Leather,2016.0,,Petrol,27750000,75000,,,27750000,
BMW,X5 M Sport E Drive,2016.0,,Petrol,27500000,88500,,,27500000,
BMW,X5 M-Sport Plus,2016.0,,Petrol,27000000,74000,,30750000,27000000,
BMW,316i,2015.0,,Petrol,18250000,102000,,,18150000,18250000
BMW,740i M Sport,2015.0,,Petrol,29500000,85000,,,29500000,
BMW,Mini Cooper,2015.0,,Petrol,12200000,49400,,12200000,,
BMW,Mini Cooper Chili Pack 1.5L,2015.0,,Petrol,15250000,34000,,15250000,,
BMW,523i,2013.0,,Petrol,18000000,162000,,,,18000000
BMW,F10 528i,2013.0,,Petrol,17000000,22000,,17000000,,
BMW,335i,2012.0,,Petrol,19800000,107000,,,,19800000
BMW,520i M Sport,2012.0,,Petrol,16050000,100000,,,16050000,16050000
BMW,730Li (Embassy),2012.0,,Petrol,25500000,40000,,25500000,,
BMW,Z4 Roadster sDrive35i,2012.0,,Petrol,34500000,37000,,34500000,,
BMW,523i Low Mileage,2011.0,,Petrol,14000000,78000,,,14000000,
BMW,523i M Sport Sunroof,2011.0,,Petrol,20500000,114000,,,,20500000
BMW,528i 3litre,2011.0,,Petrol,19700000,94000,,,19700000,
BMW,740Li,2011.0,,Petrol,22500000,56000,,,22500000,
BMW,X5,2011.0,,Petrol,16000000,95000,,,23500000,
BMW,X5 patrol,2011.0,,Petrol,24500000,105000,,,,24500000
BMW,523i M5 KITTED,2010.0,,Petrol,15590000,117000,,,,15590000
BMW,E90 320i Fully Loaded,2008.0,,Petrol,10990000,157000,,,,10990000
BMW,523i LCI Individual,2007.0,,Petrol,14250000,127413,,,,14250000
Bajaj,Qute,2019.0,,Petrol,1200000,50000,,1312500,1212500,1402000
Chery,QQ,2025.0,,Petrol,2000000,150,2000000,,1638333,1767500
Chery,Tiggo 4 Pro,2024.0,,Petrol,10700000,5200,10700000,,,
Chery,QQ,2011.0,,Petrol,1690000,98829,2000000,,1638333,1767500
Chery,QQ,2008.0,,Petrol,1475000,73025,2000000,,1638333,1767500
Chery,QQ,2007.0,,Petrol,1650000,950000,2000000,,1638333,1767500
Chery,QQ3,2007.0,,Petrol,1585000,85000,,,1585000,
Chery,QQ 308,2006.0,,Petrol,1275000,55000,,,1275000,
Chery,QQ KE,2006.0,,Petrol,1958000,85000,,,1958000,
Chevrolet,Cruze,2004.0,,Petrol,4150000,170000,,,,4433333
Chrysler,300,2012.0,,Petrol,22500000,55000,,,22500000,
Chrysler,300 Face Lift,2012.0,,Petrol,19500000,108000,,,,19500000
DFSK,Glory,2024.0,,Petrol,15400000,3000,12533333,10350000,9150000,
DFSK,Glory I,2024.0,,Petrol,12000000,9000,12416667,11325000,10687500,
DFSK,Glory,2023.0,,Petrol,10700000,36000,12533333,10350000,9150000,
DFSK,Glory I,2023.0,,Petrol,12500000,15000,12416667,11325000,10687500,
DFSK,Glory i / iauto,2023.0,,Petrol,11500000,38000,,11500000,,
DFSK,Glory i-Auto,2023.0,,Petrol,13500000,10312,13500000,11150000,,
DFSK,Glory,2022.0,,Petrol,10000000,27000,12533333,10350000,9150000,
DFSK,Glory 580,2022.0,,Petrol,10500000,43726,,10025000,8800000,
DFSK,Glory 580 2023,2022.0,,Petrol,9700000,25000,,9700000,,
DFSK,Glory I,2022.0,,Petrol,10900000,26000,12416667,11325000,10687500,
DFSK,Glory I-Auto,2022.0,,Petrol,10600000,57000,,11400000,10600000,
DFSK,Glory VT5 Automatic,2022.0,,Petrol,10050000,15000,10050000,,,
DFSK,I-Auto,2022.0,,Petrol,12600000,24000,,12600000,,
DFSK,580,2021.0,,Petrol,10000000,25000,,10000000,9400000,
DFSK,Glory,2021.0,,Petrol,8800000,71000,12533333,10350000,9150000,
DFSK,Glory 580,2021.0,,Petrol,9400000,59700,,10025000,8800000,
DFSK,Glory G push star sunroof,2021.0,,Petrol,8750000,60000,,,8750000,
DFSK,Glory I,2021.0,,Petrol,10975000,54447,12416667,11325000,10687500,
DFSK,Glory I-Auto,2021.0,,Petrol,11400000,36000,,11400000,10600000,
DFSK,Glory i-Auto,2021.0,,Petrol,11150000,33000,13500000,11150000,,
DFSK,Glory 580 Luxury,2020.0,,Petrol,9500000,25000,,9500000,,
DFSK,Glory 330,2019.0,,Petrol,5975000,120000,,,,5975000
DFSK,Glory 580 1ST OWENER,2019.0,,Petrol,9190000,77030,,,9190000,
Daihatsu,Mira ES,2025.0,,Petrol,7550000,246,7200000,,,
Daihatsu,Mira ES G,2025.0,,Petrol,7950000,0,7950000,,,
Daihatsu,Mira ES SAFETY,2025.0,,Petrol,7490000,500,7310000,,,
Daihatsu,Mira G Grade,2025.0,,Petrol,7200000,8,7200000,,,
Daihatsu,Mira L Grade,2025.0,,Petrol,6600000,5000,6985500,6650000,,
Daihatsu,Mira X Limited,2025.0,,Petrol,7790000,900,7288750,,,
Daihatsu,Mira eS L Safety,2025.0,,Petrol,6995000,0,6995000,,,
Daihatsu,Mira l limited,2025.0,,Petrol,7500000,0,7500000,,,
Daihatsu,Rocky,2025.0,,Petrol,14500000,22,14145000,,13500000,
Daihatsu,Taft,2025.0,,Petrol,9600000,1200,9190000,,,
Daihatsu,Taft G,2025.0,,Petrol,8300000,10,9050000,9375000,,
Daihatsu,Taft G CHROME,2025.0,,Petrol,9290000,0,9171667,,,
Daihatsu,Taft G Chrome Adventure,2025.0,,Petrol,9550000,0,9550000,,,
Daihatsu,Taft G Chrome Dark,2025.0,,Petrol,10000000,350,10000000,,,
Daihatsu,Taft G Chrome Venture,2025.0,,Petrol,8990000,8,8953750,,,
Daihatsu,Taft G Chrome venture,2025.0,,Petrol,8995000,11000,8995000,8975000,,
Daihatsu,Taft G DARK CHROME VENTUR,2025.0,,Petrol,9490000,300,9490000,,,
Daihatsu,Taft G Dark Chrome,2025.0,,Petrol,9500000,0,9233333,,,
Daihatsu,Taft G Dark Chrome Bench,2025.0,,Petrol,9500000,0,9500000,,,
Daihatsu,Taft G Dark Chrome Ventur,2025.0,,Petrol,9250000,15,9250000,,,
Daihatsu,Taft G Dark Venture,2025.0,,Petrol,9975000,0,9775000,,,
Daihatsu,Taft G Grade,2025.0,,Petrol,8800000,5,8675000,,,
Daihatsu,Thor CUSTOM G-T,2025.0,,Petrol,11500000,10,11500000,,,
Daihatsu,Mira,2024.0,,Petrol,7490000,13244,7395000,,6068750,5847500
Daihatsu,Mira (L) SA3,2024.0,,Petrol,6700000,2000,6700000,,,
Daihatsu,Mira ES I Pre Order,2024.0,,Petrol,7800000,4598,7800000,,,
Daihatsu,Mira ES L Grade Safety,2024.0,,Petrol,7090000,7200,6990000,,,
Daihatsu,Mira ES S Limited,2024.0,,Petrol,7890000,2350,7890000,,,
Daihatsu,Mira ES SAFETY,2024.0,,Petrol,7250000,500,7310000,,,
Daihatsu,Mira ES Safety,2024.0,,Petrol,7350000,900,7262500,,,
Daihatsu,Mira ES X Limited LED,2024.0,,Petrol,7575000,3600,7575000,,,
Daihatsu,Mira L,2024.0,,Petrol,7250000,2800,7250000,,,
Daihatsu,Mira L Grade,2024.0,,Petrol,6990000,3900,6985500,6650000,,
Daihatsu,Mira L Grade Safety,2024.0,,Petrol,7390000,800,7192500,,,
Daihatsu,Mira L SA3,2024.0,,Petrol,7095000,3550,7032500,,,
Daihatsu,Mira L SA3 GRADE,2024.0,,Petrol,7190000,2000,7190000,,,
Daihatsu,Mira L Safety,2024.0,,Petrol,7100000,4000,7100000,,,
Daihatsu,Mira LSA3,2024.0,,Petrol,7350000,2000,7350000,,,
Daihatsu,Mira Pre Order,2024.0,,Petrol,7600000,5879,7550000,,,
Daihatsu,Mira SA3 L Safety Edition,2024.0,,Petrol,7150000,7000,7150000,,,
Daihatsu,Mira Safety L,2024.0,,Petrol,7000000,3000,7000000,,,
Daihatsu,Mira X Grade,2024.0,,Petrol,7490000,2500,7490000,,,
Daihatsu,Mira X LTD,2024.0,,Petrol,7150000,16200,7150000,,,
Daihatsu,Mira X Limited SA 3,2024.0,,Petrol,7150000,6000,7150000,,,
Daihatsu,Mira X limited LED,2024.0,,Petrol,7200000,0,7200000,,,
Daihatsu,Rocky PREMIUM 4WAY CAMERA,2024.0,,Petrol,13800000,285,13800000,,,
Daihatsu,Taft,2024.0,,Petrol,8600000,3200,9190000,,,
Daihatsu,Taft DARK CHROME VENTURE,2024.0,,Petrol,8850000,0,8850000,,,
Daihatsu,Taft Dark Chrome Venture,2024.0,,Petrol,9200000,4000,9125000,,,
Daihatsu,Taft G Brand,2024.0,New,Petrol,8550000,0,8550000,,,
Daihatsu,Taft G CHROME,2024.0,,Petrol,8750000,0,9171667,,,
Daihatsu,Taft G CHROME 4 WAY,2024.0,,Petrol,8990000,1000,8990000,,,
Daihatsu,Taft G Chrome,2024.0,,Petrol,9200000,900,9400000,,,
Daihatsu,Taft G Chrome B/NEW,2024.0,,Petrol,9350000,0,9350000,,,
Daihatsu,Taft G Chrome Bench,2024.0,,Petrol,9600000,1100,9600000,,,
Daihatsu,Taft G Chrome Venture,2024.0,,Petrol,9275000,2000,8953750,,,
Daihatsu,Taft G DARK CHROME 4 WAY,2024.0,,Petrol,9250000,2000,9250000,,,
Daihatsu,Taft G DARK CHROME VENTRE,2024.0,,Petrol,8950000,4300,8950000,,,
Daihatsu,Taft G DARKCHROME,2024.0,,Petrol,9400000,0,9400000,,,
Daihatsu,Taft G Dark Chrom,2024.0,,Petrol,8995000,33000,9550000,8995000,,
Daihatsu,Taft G Dark Chrome,2024.0,,Petrol,9700000,0,9233333,,,
