Manufacturer,Model,Fuel Type,Fuel Efficiency,Eff (km/l),Body Type,Seating Capacity,Ground Clearance (range),Body Type 1 (sedan),Body Type 2 (hatchback),Body Type 3 (suv),Body Type 4 (mpv),Body Type 5 (pickup),Body Type 6 (coupe),Body Type 7 (convertible),Body Type 8 (wagon),Body Type 9 (van),Body Type 10 (crossover),Body Type 11 (kei / microvan),Body Type 12 (roadster),Body Type 13 (other),Body Type 14 (liftback),Body Type 15 (mpv / minivan),City/Urban,Suburban/Normal,Mid Off-Road,Off-Road/Hilly Terrain,Year,Body_sedan,Body_hatchback,Body_suv,Body_mpv,Body_pickup,Body_coupe,Body_convertible,Body_wagon,Body_van,Body_crossover,Body_kei / microvan,Body_roadster,Body_other,Body_liftback,Body_mpv / minivan,Body_minivan,Body_microvan,Fuel_petrol,Fuel_hybrid,Fuel_diesel,Fuel_electric
Audi,a5 s-line cabriolet,Petrol,14,14.0,sedan,5,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,a6,Petrol,9-14,11.5,sedan / wagon,5,182,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,"2012,2016",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,a6,Diesel,13-18,15.5,sedan / wagon,5,182,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Audi,a6 tdi,Diesel,14-16,15.0,sedan/wagon,5,182,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,"2012,2014",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Audi,a6 tfsi,Petrol,14,14.0,sedan/wagon,5,140,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,a7 3.0t quattro,Petrol,7.65,7.65,hatchback/hatchback sportback,5,113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,e-tron gt sport edition,Electric,4.7-5.6,5.15,suv/suv sportback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Audi,q2,Petrol,15.3,15.3,suv,5,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2017–2019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q2 s-line,Petrol,14-16,15.0,suv,5,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q2 tfsi,Petrol,15,15.0,suv,5,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2017–2018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q3,Petrol,15-17,16.0,suv / suv sportsback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"2013,2018,2019,2022",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q3 premium,Petrol,12.8-14.93,13.865,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q3 s-line,Petrol,14-15,14.5,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q3 s-line,Electric,5-5.2,5.1,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023–2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Audi,q3 s-line quattro,Petrol,14.93,14.93,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q3 s-line sportsback,Petrol,14.93,14.93,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q3 s-line tfsi,Petrol,14.93,14.93,suv/suv sportback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q4,Electric,5.2-5.8,5.5,suv / suv sportsback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Audi,q4 e-tron,Electric,5.2-5.8,5.5,suv/suv sportback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Audi,q4 e-tron 40,Electric,5.2-5.8,5.5,suv/suv sportback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023–2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Audi,q4 e-tron s-line,Electric,5.2-5.8,5.5,suv/suv sportback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Audi,q4 e-tron s-line sports back,Electric,5.2-5.8,5.5,suv/suv sportback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Audi,q5 quattro,Petrol,9.5-12,10.75,suv/suv sportback,5,202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q5 quattros s-line tfsi,Petrol,9.5-12,10.75,suv/suv sportback,5,202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q7 platinum edition,Petrol,10.75,10.75,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q7 quattro,Petrol,10.1-11.5,10.8,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"2011,2016,2017,2025",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q7 quattro tfsi,Petrol,10.1-11.5,10.8,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q7 quattro tfsi 40,Petrol,10-13,11.5,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q7 s-line,Petrol,7-11,9.0,suv,7,178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Audi,q8 e-tron,Electric,4-6,5.0,suv/suv sportback,5,211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Audi,q8 e-tron s-line 50 quattro,Electric,4-6,5.0,suv/suv sportback,5,211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BMW,218i gran m-sport,Petrol,14.8-18.6,16.700000000000003,coupe,5,152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2023–2024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BMW,316i,Petrol,11-14,12.5,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BMW,318i,Petrol,14-18.5,16.25,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"2016,2017,2018,2020",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BMW,318i f-30 m-sport,Petrol,14-18.5,16.25,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BMW,318i f-80 m-sport,Petrol,14-18.5,16.25,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BMW,318i m-sport,Petrol,14-18.5,16.25,sedan,5,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2017–2019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BMW,320d,Diesel,,,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2011–2014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMW,320d e-90,Diesel,18.6-19.5,19.05,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMW,320d f-30,Diesel,18.6-19.5,19.05,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMW,320d m-sport,Diesel,18.6-19.5,19.05,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMW,430i gran m-sport,Petrol,12.1-15,13.55,coupe/gran coupe,5,127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BMW,520d,Diesel,13-15,14.0,sedan / touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2011–2016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMW,520d f-10,Diesel,13-15,14.0,sedan/touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"2012,2013,2015",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMW,520d gt,Diesel,13-15,14.0,hatchback,5,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2013,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMW,520d gt m-sport,Diesel,13-15,14.0,hatchback,5,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMW,520d lci,Diesel,13-15,14.0,sedan/touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMW,520d m-sport,Diesel,13-15,14.0,sedan/touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"2012,2013,2015,2019",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMW,520d twin,Diesel,13-15,14.0,sedan/touring,5,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2012–2013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMW,520i m-sport,Petrol,7-9,8.0,sedan/touring,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BMW,520i m-sport pro,Hybrid,14.7,14.7,sedan/touring,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
