Manufacturer,Model,Year,Condition,Fuel Type,Price
Toyota,Hilux Vigo,2006,,Diesel,"Rs 12,000,000"
Toyota,Hilux 2KD,2011,,Diesel,"Rs 13,900,000"
Toyota,Hilux Rocco Revo B5 B/NEW,2025,,Diesel,"Rs 28,000,000"
Kia,Sorento,2014,,Diesel,"Rs 15,000,000"
Mitsubishi,Montero,2015,,Diesel,"Rs 32,500,000"
Land Rover,Defender,2010,,Diesel,"Rs 28,500,000"
Audi,A4 TDI,2012,,Diesel,"Rs 12,900,000"
Ford,Ranger MS-RT Limited 3.2Di,2025,,Diesel,"Rs 34,500,000"
Ford,Raptor Ranger MSRT 3L V6,2024,,Diesel,"Rs 33,800,000"
Toyota,Corolla,2003,,Diesel,"Rs 5,600,000"
Toyota,Hilux 2025 ROCCO,,,Diesel,"Rs 29,500,000"
Toyota,Hilux 3L 1KD 4WD,2008,,Diesel,"Rs 12,200,000"
Mitsubishi,Montero Center Spare Wheel,2008,,Diesel,"Rs 18,750,000"
Mitsubishi,4DR J44,1978,,Diesel,"Rs 4,500,000"
BMW,X3 Diesal 1st,2013,,Diesel,"Rs 17,850,000"
BMW,520d GT MSPORT,2015,,Diesel,"Rs 26,800,000"
Land Rover,Defender Puma 2.2L TD6 Autobi,2016,,Diesel,"Rs 36,500,000"
Toyota,Hilux Revo 4*4 AT,2025,,Diesel,"Rs 28,000,000"
Toyota,Land Cruiser Prado,2013,,Diesel,"Rs 36,500,000"
Toyota,Hilux Rocco 2.8,2025,,Diesel,"Rs 29,550,000"
Ford,Raptor Ranger 2.0L,2025,,Diesel,"Rs 37,550,000"
Toyota,Hilux Rocco B5 2.8L Hammer,2025,,Diesel,"Rs 27,950,000"
Daihatsu,Charade,1984,,Diesel,"Rs 1,650,000"
Toyota,Hilux REVO BRAND,2025,NEW,Diesel,"Rs 25,990,000"
Tata,Indigo,2007,,Diesel,"Rs 2,300,000"
Toyota,Land Cruiser Prado KZJ 95,1999,,Diesel,"Rs 13,000,000"
Kia,Carnival Grand,2015,,Diesel,"Rs 17,000,000"
Toyota,Hilux GR SPORT Japan,2024,,Diesel,"Rs 25,850,000"
Toyota,Land Cruiser Sahara VX V8 Highest,2019,,Diesel,"Rs 93,000,000"
Ford,Ranger Raptor 2.L,2025,,Diesel,"Rs 33,900,000"
Nissan,Double cab D21,1993,,Diesel,"Rs 3,875,000"
Audi,A6 2.0 TDI,2012,,Diesel,"Rs 13,950,000"
Jeep,Wrangler,2016,,Diesel,"Rs 37,500,000"
Toyota,Land Cruiser Prado TRJ150 3L 1ST,2015,,Diesel,"Rs 43,750,000"
Toyota,Hilux REVO 2.8L 4x4,2025,,Diesel,"Rs 26,500,000"
Land Rover,Range Evoque TD4,2013,,Diesel,"Rs 18,590,000"
Toyota,Land Cruiser Sahara ZX V6-Diesel Highest,2025,,Diesel,"Rs 118,000,000"
Toyota,Hilux REVO ROCCO 2.8L 4x4,2024,,Diesel,"Rs 28,000,000"
BMW,520d LCI,2015,,Diesel,"Rs 27,500,000"
Toyota,Hilux Double Cab,2011,,Diesel,"Rs 12,500,000"
Hyundai,Santa Fe,2015,,Diesel,"Rs 13,700,000"
Mitsubishi,L200,2008,,Diesel,"Rs 8,900,000"
Ford,Ranger MSRT BN,2024,,Diesel,"Rs 33,700,000"
BMW,520d F10,2015,,Diesel,"Rs 29,500,000"
Toyota,HIACE KDH SUPER GL,2014,,Diesel,"Rs 24,500,000"
Toyota,Land Cruiser Prado VX 3.0,2014,,Diesel,"Rs 38,900,000"
Kia,Sorento 1-12 options,2012,,Diesel,"Rs 12,850,000"
Nissan,Patrol GRX Y61,2015,,Diesel,"Rs 39,590,000"
Lexus,LX500D 1STGEN IN SRI,2025,,Diesel,"Rs 153,900,000"
Kia,Sorento 1-11 options,2014,,Diesel,"Rs 14,950,000"
Toyota,Land Cruiser Prado,2018,,Diesel,"Rs 51,500,000"
Land Rover,Freelander 1st com/mainta,2012,,Diesel,"Rs 11,350,000"
Kia,Sportage fully loaded,2013,,Diesel,"Rs 10,950,000"
Kia,Sorento,2012,,Diesel,"Rs 13,450,000"
Ford,Raptor 2L,2025,,Diesel,"Rs 36,500,000"
Mitsubishi,Montero GLS,2015,,Diesel,"Rs 29,500,000"
Toyota,Hilux REVO GR Sport 2.8L,2025,,Diesel,"Rs 32,500,000"
Kia,Sorento 1-10 options,2010,,Diesel,"Rs 11,250,000"
Toyota,Fortuner maintain,2013,,Diesel,"Rs 19,500,000"
Kia,Sportage maintain,2013,,Diesel,"Rs 9,950,000"
Nissan,Sunny FE 14,1994,,Diesel,"Rs 2,700,000"
Toyota,Land Cruiser Prado LJ79,1991,,Diesel,"Rs 11,375,000"
Toyota,Hilux 4WD Double Cab,2018,,Diesel,"Rs 17,800,000"
Mitsubishi,Montero BRAND NEW,2011,,Diesel,"Rs 15,950,000"
Toyota,Hilux Revo Rocco Modellist,2025,,Diesel,"Rs 27,650,000"
Toyota,Land Cruiser Prado 250 ED,2024,,Diesel,"Rs 81,500,000"
Mitsubishi,Montero GLS 1ST,2015,,Diesel,"Rs 32,800,000"
BMW,320d,2013,,Diesel,"Rs 17,500,000"
Toyota,Land Cruiser Sahara Parliament model,2011,,Diesel,"Rs 52,500,000"
Land Rover,Discovery 4s,2016,,Diesel,"Rs 34,500,000"
Toyota,Land Cruiser Prado LC300,2023,,Diesel,"Rs 106,500,000"
Toyota,Land Cruiser Prado / 4x4,2014,,Diesel,"Rs 41,500,000"
Mahindra,Bolero,2006,,Diesel,"Rs 2,375,000"
Mitsubishi,Montero Sport 2011,2012,,Diesel,"Rs 16,250,000"
