Manufacturer,Model,Year,Condition,Fuel Type,Price
Honda,Vezel Z Premium 10spk/4way,2024,,Hybrid,"Rs 20,700,000"
Toyota,Yaris Cross Premium Luxury,2025,,Hybrid,"Rs 20,500,000"
Toyota,Raize Z Grade (Black Top),2025,,Hybrid,"Rs 16,140,000"
Toyota,Aqua S,2012,,Hybrid,"Rs 7,675,000"
Mercedes Benz,E350 E AMG Premium Plus,2017,,Hybrid,"Rs 31,500,000"
Honda,Vezel Z play Soound system,2025,,Hybrid,"Rs 23,950,000"
Nissan,Aura G Leather Sport,2024,,Hybrid,"Rs 15,695,000"
Suzuki,Wagon R,2015,,Hybrid,"Rs 6,050,000"
Toyota,Corolla Cross Z Grade,2025,,Hybrid,"Rs 31,000,000"
Honda,Vezel X GRADE BRAND,2025,NEW,Hybrid,"Rs 18,990,000"
Toyota,Axio G Grade Limited,2025,,Hybrid,"Rs 16,995,000"
Honda,Vezel Z Premium Wireless,2025,,Hybrid,"Rs 20,500,000"
Honda,Vezel Z Premium Package,2023,,Hybrid,"Rs 21,800,000"
Suzuki,Wagon R Stingray J Style,2015,,Hybrid,"Rs 6,700,000"
Honda,Vezel Z BLACK,2014,,Hybrid,"Rs 10,490,000"
Honda,Vezel Z Premium (Basic),2023,,Hybrid,"Rs 20,390,000"
Mercedes Benz,CLA 250 AMG Line Premium +,2024,,Hybrid,"Rs 39,500,000"
Honda,Fit Shuttle,2012,,Hybrid,"Rs 9,800,000"
Honda,Vezel X HUNT BRAND,2025,NEW,Hybrid,"Rs 19,590,000"
Suzuki,Hustler J STYLE,2025,,Hybrid,"Rs 9,250,000"
Honda,Vezel X HUNT BRAND,2024,NEW,Hybrid,"Rs 18,790,000"
Honda,Vezel X eHev,2025,,Hybrid,"Rs 19,300,000"
Suzuki,Spacia XS CUSTOM,2025,,Hybrid,"Rs 10,825,000"
Toyota,Corolla Cross BRAND,2025,NEW,Hybrid,"Rs 29,875,000"
Honda,Vezel,2015,,Hybrid,"Rs 11,000,000"
Suzuki,Spacia CUSTOM XS,2025,,Hybrid,"Rs 10,950,000"
Toyota,Raize Z Fully load,2025,,Hybrid,"Rs 16,300,000"
Mitsubishi,Outlander G Navi Premium,2015,,Hybrid,"Rs 16,200,000"
Toyota,Yaris Cross Premium luxury,2025,,Hybrid,"Rs 20,500,000"
Honda,Fit GP7 SHUTTLE,2022,,Hybrid,"Rs 16,800,000"
Honda,Vezel Z O MILEAGE,2025,,Hybrid,"Rs 20,590,000"
Nissan,ROOX HIGHWAY STAR X,2024,,Hybrid,"Rs 9,600,000"
Suzuki,Wagon R FX safety,2024,,Hybrid,"Rs 8,750,000"
Suzuki,Wagon R CUSTOM Z,2025,,Hybrid,"Rs 9,850,000"
Suzuki,Hustler J Style,2024,,Hybrid,"Rs 8,900,000"
Toyota,Axio WXB Anniversary,2017,,Hybrid,"Rs 12,800,000"
Honda,Fit Shuttle,2023,,Hybrid,"Rs 17,000,000"
Suzuki,Wagon R COUSTOM Z,2025,,Hybrid,"Rs 10,000,000"
Suzuki,Spacia Custom Xs,2025,,Hybrid,"Rs 10,500,000"
Suzuki,Wagon R FX,2017,,Hybrid,"Rs 6,350,000"
Toyota,Axio,2016,,Hybrid,"Rs 11,200,000"
Suzuki,Wagon R SMILE S LIMITED,2024,,Hybrid,"Rs 8,765,000"
Suzuki,Wagon R Stingray,2025,,Hybrid,"Rs 10,590,000"
Honda,Fit GP5 S Grade,2013,,Hybrid,"Rs 7,650,000"
Suzuki,Wagon R Custom z,2025,,Hybrid,"Rs 9,875,000"
Toyota,Yaris Cross Luxury Premium,2025,,Hybrid,"Rs 22,000,000"
Toyota,Harrier Z 2.5L,2025,,Hybrid,"Rs 49,000,000"
Honda,Vezel Z Play Premium,2025,,Hybrid,"Rs 23,500,000"
Toyota,Axio NKE 165,2022,,Hybrid,"Rs 17,000,000"
Suzuki,Wagon R ZX CUSTOM,2023,,Hybrid,"Rs 9,790,000"
Honda,Vezel X Hunt Brand,2025,New,Hybrid,"Rs 18,950,000"
Suzuki,Wagon R Custom Z,2023,,Hybrid,"Rs 9,790,000"
Suzuki,Spacia XS,2025,,Hybrid,"Rs 11,475,000"
