Manufacturer,Model,Year,Condition,Fuel Type,Price
Mitsubishi,Eclipse Cross,2018,,Petrol,"Rs 16,500,000"
Toyota,Premio G Superior,2019,,Petrol,"Rs 17,885,000"
Nissan,Almera VL Premium,2025,,Petrol,"Rs 14,325,000"
Suzuki,Alto Sport,2015,,Petrol,"Rs 3,890,000"
Toyota,Axio G Grade,2007,,Petrol,"Rs 8,200,000"
Daihatsu,Mira ES Safety L Grade,2022,,Petrol,"Rs 6,890,000"
Micro,Panda Cross,2013,,Petrol,"Rs 3,465,000"
Daihatsu,Taft Dark Chrome Venture,2023,,Petrol,"Rs 9,275,000"
Toyota,Mark X,2007,,Petrol,"Rs 10,500,000"
Daihatsu,Mira ES L Grade,2023,,Petrol,"Rs 6,850,000"
Toyota,Raize Z 1.2L Bodykit,2023,,Petrol,"Rs 15,300,000"
Toyota,Vitz,2019,,Petrol,"Rs 9,200,000"
Toyota,Raize Z,2025,,Petrol,"Rs 16,400,000"
BMW,X1,2018,,Petrol,"Rs 18,500,000"
Toyota,Land Cruiser Prado 250 VX,2025,,Petrol,"Rs 65,000,000"
Daihatsu,Move Custom,2023,,Petrol,"Rs 9,475,000"
Hyundai,Santa Fe 2WD,2003,,Petrol,"Rs 4,199,999"
Toyota,Corona AT 211,1999,,Petrol,"Rs 4,750,000"
Toyota,Tank Taisor Urban Cruiser,2024,,Petrol,"Rs 12,850,000"
Honda,Civic Ex Tech Pack Sedan,2019,,Petrol,"Rs 12,850,000"
Toyota,Premio,2018,,Petrol,"Rs 18,500,000"
Toyota,Yaris G Grade,2022,,Petrol,"Rs 11,400,000"
Toyota,Land Cruiser Sahara ZX LC300,2025,,Petrol,"Rs 113,500,000"
Suzuki,Alto Japan,2018,,Petrol,"Rs 5,730,000"
Toyota,Allion,2018,,Petrol,"Rs 16,800,000"
BMW,740Le Luxury Line,2017,,Petrol,"Rs 40,000,000"
Daihatsu,Mira LS 3,2023,,Petrol,"Rs 6,980,000"
Volkswagen,T-Cross StylePack,2023,,Petrol,"Rs 15,850,000"
Peugeot,5008 GT line,2020,,Petrol,"Rs 18,500,000"
Perodua,Bezza,2020,,Petrol,"Rs 7,950,000"
Mercedes Benz,E350,2018,,Petrol,"Rs 38,000,000"
Honda,N-Box Custom,2025,,Petrol,"Rs 9,975,000"
Toyota,Vanguard Jeep,2012,,Petrol,"Rs 12,500,000"
Honda,CRV,2018,,Petrol,"Rs 20,200,000"
Toyota,Yaris X-Grade,2022,,Petrol,"Rs 10,250,000"
Nissan,Sunny N16 Super Saloon,2000,,Petrol,"Rs 4,475,000"
Toyota,Yaris,2023,,Petrol,"Rs 9,950,000"
Toyota,Raize G Grade 1200cc,2022,,Petrol,"Rs 12,950,000"
Toyota,Premio 2017 G superior,,,Petrol,"Rs 16,325,000"
Toyota,Harrier New face 3 LED,2017,,Petrol,"Rs 31,000,000"
Toyota,Pixis,2023,,Petrol,"Rs 8,750,000"
BMW,218i M Sport,2023,,Petrol,"Rs 30,000,000"
Toyota,Premio Superior Grade,2017,,Petrol,"Rs 16,100,000"
Suzuki,Maruti,2007,,Petrol,"Rs 2,350,000"
DFSK,Glory i-Auto,2021,,Petrol,"Rs 11,150,000"
Nissan,Sunny FB13,1994,,Petrol,"Rs 2,385,000"
Toyota,Axio G Grade,2016,,Petrol,"Rs 12,200,000"
Toyota,CHR NGX 10 Eagles Eye,2019,,Petrol,"Rs 15,850,000"
Suzuki,Ignis,2016,,Petrol,"Rs 6,850,000"
Honda,N-WGN,2015,,Petrol,"Rs 7,390,000"
Suzuki,Wagon R FZ,2017,,Petrol,"Rs 7,125,000"
Mitsubishi,Lancer Box,1980,,Petrol,"Rs 1,650,000"
MG,ZS,2018,,Petrol,"Rs 9,890,000"
Toyota,Land Cruiser Sahara V8,2008,,Petrol,"Rs 39,800,000"
Daihatsu,Taft G Dark Chrome Bench,2025,,Petrol,"Rs 9,500,000"
Nissan,Sunny,2002,,Petrol,"Rs 1,800,000"
Toyota,Premio,2010,,Petrol,"Rs 10,350,000"
Suzuki,Baleno,2016,,Petrol,"Rs 7,800,000"
Mazda,Flair Crossover,2015,,Petrol,"Rs 6,900,000"
Nissan,AD Wagon Y11,2001,,Petrol,"Rs 3,750,000"
Suzuki,Swift Rs,2017,,Petrol,"Rs 8,900,000"
Hyundai,Santa Fe,2013,,Petrol,"Rs 11,790,000"
Kia,Picanto,2016,,Petrol,"Rs 6,490,000"
Toyota,Raize Z GRADE 1.2L JAPAN,2023,,Petrol,"Rs 15,890,000"
Toyota,Raize Z GRADE 1200CC JAPAN,2024,,Petrol,"Rs 16,590,000"
Suzuki,Wagon R,2016,,Petrol,"Rs 6,390,000"
Daihatsu,Mira ES LED,2018,,Petrol,"Rs 6,350,000"
Toyota,Roomy CUSTOM GT TERBO,2022,,Petrol,"Rs 11,775,000"
Suzuki,Swift RS -,2017,,Petrol,"Rs 8,650,000"
Toyota,Roomy Gt Custom U/R,2022,,Petrol,"Rs 11,200,000"
